Order No,Placed,Customer,Item,Units,Gross,Disc,Stat
SO-10001,2024-04-11,A-7066,P-323,2,$598.00,$0.00,CMP
SO-10002,2023-05-11,A-7281,P-306,10,"$2,990.00",$149.50,CMP
SO-10003,2024-04-16,A-7157,P-309,6,"$5,394.00",$269.70,CMP
SO-10004,2024-06-02,A-7889,P-318,5,$745.00,$0.00,CMP
SO-10005,2023-06-07,A-7060,P-301,9,$441.00,$44.10,CMP
SO-10006,2023-04-28,A-7222,P-311,7,"$1,043.00",$104.30,CXL
SO-10007,2023-07-29,A-7157,P-308,4,"$1,196.00",$119.60,CMP
SO-10008,2025-02-16,A-7643,P-307,4,$596.00,$59.60,CMP
SO-10009,2024-03-30,A-7822,P-314,4,$196.00,$0.00,CMP
SO-10010,2025-03-06,A-7186,P-316,7,"$10,493.00",$0.00,CMP
SO-10011,2023-03-09,A-7333,P-323,5,"$1,495.00",$74.75,CMP
SO-10012,2025-02-04,A-7562,P-303,2,$598.00,$29.90,CMP
SO-10013,2023-07-12,A-7518,P-314,9,$441.00,$0.00,CMP
SO-10014,2025-03-23,A-7509,P-306,9,"$2,691.00",$0.00,CMP
SO-10015,2024-07-24,A-7937,P-322,8,"$3,992.00",$199.60,CMP
SO-10016,2023-10-12,A-7675,P-306,3,$897.00,$0.00,CMP
SO-10017,2024-02-20,A-7925,P-322,10,"$4,990.00",$249.50,CMP
SO-10018,2024-06-28,A-7881,P-314,6,$294.00,$0.00,RFD
SO-10019,2025-04-24,A-7140,P-323,2,$598.00,$59.80,CMP
SO-10020,2024-08-22,A-7603,P-302,6,$594.00,$59.40,CMP
SO-10021,2024-03-28,A-7028,P-322,9,"$4,491.00",$224.55,CMP
SO-10022,2023-07-07,A-7038,P-314,10,$490.00,$49.00,CMP
SO-10023,2024-08-03,A-7506,P-314,2,$98.00,$4.90,CMP
SO-10024,2024-12-09,A-7683,P-321,3,$447.00,$22.35,CMP
SO-10025,2024-01-20,A-7162,P-310,3,$297.00,$0.00,PND
SO-10026,2023-09-20,A-7894,P-323,7,"$2,093.00",$0.00,CXL
SO-10027,2023-07-10,A-7268,P-317,5,"$2,495.00",$249.50,CMP
SO-10028,2024-03-28,A-7441,P-315,10,"$8,990.00",$0.00,CMP
SO-10029,2024-05-14,A-7387,P-312,6,"$5,394.00",$0.00,CMP
SO-10030,2023-10-22,A-7157,P-301,5,$245.00,$0.00,CMP
SO-10031,2024-01-19,A-7847,P-308,1,$299.00,$0.00,CMP
SO-10032,2024-03-02,A-7247,P-311,6,$894.00,$0.00,CMP
SO-10033,2023-05-25,A-7315,P-301,10,$490.00,$0.00,CMP
SO-10034,2024-09-02,A-7889,P-319,2,$198.00,$9.90,CMP
SO-10035,2024-04-01,A-7117,P-313,4,$196.00,$0.00,CMP
SO-10036,2023-07-30,A-7847,P-308,10,"$2,990.00",$149.50,CMP
SO-10037,2024-06-23,A-7569,P-304,6,"$1,794.00",$0.00,CMP
SO-10038,2023-04-28,A-7366,P-313,7,$343.00,$34.30,CMP
SO-10039,2024-07-06,A-7560,P-314,1,$49.00,$0.00,RFD
SO-10040,2024-12-11,A-7560,P-319,3,$297.00,$29.70,CMP
SO-10041,2024-05-04,A-7268,P-307,7,"$1,043.00",$104.30,CMP
SO-10042,2023-08-05,A-7937,P-320,2,$998.00,$0.00,CMP
SO-10043,2024-08-04,A-7268,P-316,3,"$4,497.00",$0.00,CMP
SO-10044,2024-12-07,A-7889,P-318,7,"$1,043.00",$52.15,CMP
SO-10045,2023-09-03,A-7509,P-310,8,$792.00,$0.00,RFD
SO-10046,2024-09-20,A-7333,P-323,8,"$2,392.00",$0.00,CMP
SO-10047,2023-06-02,A-7140,P-313,3,$147.00,$14.70,CMP
SO-10048,2023-05-08,A-7701,P-308,7,"$2,093.00",$209.30,PND
SO-10049,2023-07-13,A-7889,P-321,2,$298.00,$29.80,PND
SO-10050,2023-05-09,A-7229,P-314,5,$245.00,$24.50,CMP
SO-10051,2023-11-21,A-7247,P-322,10,"$4,990.00",$249.50,CMP
SO-10052,2025-01-25,A-7162,P-301,3,$147.00,$0.00,RFD
SO-10053,2025-06-26,A-7937,P-302,2,$198.00,$0.00,CMP
SO-10054,2023-09-16,A-7315,P-301,5,$245.00,$12.25,CMP
SO-10055,2025-06-23,A-7925,P-313,9,$441.00,$22.05,CMP
SO-10056,2025-01-10,A-7378,P-319,1,$99.00,$4.95,CMP
SO-10057,2023-08-14,A-7066,P-307,6,$894.00,$44.70,CMP
SO-10058,2024-11-26,A-7518,P-316,3,"$4,497.00",$224.85,CMP
SO-10059,2023-10-12,A-7559,P-315,8,"$7,192.00",$0.00,CMP
SO-10060,2025-05-16,A-7701,P-321,1,$149.00,$0.00,CMP
SO-10061,2024-06-06,A-7559,P-321,9,"$1,341.00",$67.05,RFD
SO-10062,2023-02-01,A-7894,P-323,5,"$1,495.00",$0.00,CMP
SO-10063,2023-04-15,A-7894,P-302,1,$99.00,$0.00,CMP
SO-10064,2023-12-08,A-7889,P-310,3,$297.00,$0.00,CMP
SO-10065,2023-04-20,A-7247,P-313,1,$49.00,$0.00,CMP
SO-10066,2024-01-13,A-7387,P-321,7,"$1,043.00",$104.30,RFD
SO-10067,2024-09-19,A-7643,P-301,8,$392.00,$19.60,CMP
SO-10068,2025-04-21,A-7268,P-324,6,"$8,994.00",$449.70,CXL
SO-10069,2024-02-25,A-7559,P-304,9,"$2,691.00",$269.10,CMP
SO-10070,2025-06-20,A-7315,P-318,2,$298.00,$0.00,CXL
SO-10071,2024-08-16,A-7240,P-321,3,$447.00,$44.70,CXL
SO-10072,2025-06-01,A-7901,P-307,2,$298.00,$0.00,CMP
SO-10073,2023-05-12,A-7028,P-309,7,"$6,293.00",$0.00,RFD
SO-10074,2023-02-10,A-7205,P-319,8,$792.00,$79.20,CMP
SO-10075,2023-10-19,A-7603,P-319,7,$693.00,$0.00,CMP
SO-10076,2023-03-24,A-7777,P-310,9,$891.00,$89.10,CMP
SO-10077,2024-12-05,A-7632,P-311,9,"$1,341.00",$67.05,CMP
SO-10078,2024-11-13,A-7117,P-302,4,$396.00,$39.60,CMP
SO-10079,2024-11-26,A-7901,P-302,3,$297.00,$0.00,CMP
SO-10080,2023-11-16,A-7773,P-306,5,"$1,495.00",$0.00,CXL
SO-10081,2025-02-12,A-7822,P-311,7,"$1,043.00",$52.15,CMP
SO-10082,2025-01-26,A-7160,P-323,10,"$2,990.00",$149.50,CMP
SO-10083,2023-03-14,A-7889,P-322,7,"$3,493.00",$0.00,PND
SO-10084,2025-06-11,A-7127,P-311,6,$894.00,$0.00,CMP
SO-10085,2024-12-22,A-7934,P-324,6,"$8,994.00",$899.40,CMP
SO-10086,2023-06-22,A-7840,P-322,6,"$2,994.00",$299.40,CMP
SO-10087,2023-03-01,A-7571,P-309,9,"$8,091.00",$809.10,CMP
SO-10088,2023-11-21,A-7387,P-305,10,$990.00,$99.00,CMP
SO-10089,2023-05-17,A-7132,P-304,5,"$1,495.00",$149.50,RFD
SO-10090,2023-12-21,A-7250,P-301,5,$245.00,$0.00,CMP
SO-10091,2024-01-04,A-7925,P-321,10,"$1,490.00",$0.00,CXL
SO-10092,2023-05-30,A-7168,P-320,9,"$4,491.00",$0.00,CMP
SO-10093,2024-11-18,A-7621,P-320,1,$499.00,$49.90,CXL
SO-10094,2023-03-23,A-7047,P-312,5,"$4,495.00",$449.50,CMP
SO-10095,2024-11-22,A-7861,P-310,4,$396.00,$19.80,CMP
SO-10096,2023-01-30,A-7117,P-304,3,$897.00,$0.00,CMP
SO-10097,2023-02-06,A-7140,P-318,4,$596.00,$0.00,CMP
SO-10098,2024-12-23,A-7603,P-310,7,$693.00,$0.00,CMP
SO-10099,2023-02-03,A-7360,P-305,4,$396.00,$19.80,CMP
SO-10100,2024-02-15,A-7366,P-311,3,$447.00,$44.70,CMP
SO-10101,2024-12-29,A-7186,P-321,4,$596.00,$0.00,CMP
SO-10102,2023-09-16,A-7603,P-317,10,"$4,990.00",$499.00,RFD
SO-10103,2024-10-09,A-7112,P-306,2,$598.00,$0.00,CMP
SO-10104,2024-07-14,A-7333,P-317,8,"$3,992.00",$199.60,CMP
SO-10105,2023-10-05,A-7861,P-309,1,$899.00,$89.90,CXL
