SKU,Product Name,Category,Unit Cost
LAP-100,Laptop Model A,Laptops,$318.50
LAP-101,Laptop Model B,Laptops,$169.73
LAP-102,Laptop Model C,Laptops,$599.80
LAP-103,Laptop Model D,Laptops,$102.30
MON-110,Monitor Model A,Monitors,$500.86
MON-111,Monitor Model B,Monitors,$354.49
MON-112,Monitor Model C,Monitors,$89.88
MON-113,Monitor Model D,Monitors,$476.39
KEY-120,Keyboard Model A,Keyboards,$72.25
KEY-121,Keyboard Model B,Keyboards,$412.94
KEY-122,Keyboard Model C,Keyboards,$100.08
KEY-123,Keyboard Model D,Keyboards,$118.01
HEA-130,Headset Model A,Headsets,$405.09
HEA-131,Headset Model B,Headsets,$751.09
HEA-132,Headset Model C,Headsets,$146.47
HEA-133,Headset Model D,Headsets,$231.99
DOC-140,Dock Model A,Docks,$579.59
DOC-141,Dock Model B,Docks,$855.03
DOC-142,Dock Model C,Docks,$536.31
DOC-143,Dock Model D,Docks,$381.15
