Order ID,Order Date,customer_id,SKU,Quantity,Amount,Discount %,Status
50001,"Jun 03, 2025",1067,HEA-132,8,"$2,016.31",0%,Refunded
50002,20/05/2024,1057,MON-112,8,"$1,048.59",0%,Completed
50003,15/03/2024,1101,MON-113,7,"$4,523.04",0%,Completed
50004,2024-05-26,1060,MON-110,6,"$4,136.76",0%,Completed
50005,"May 13, 2025",1107,LAP-103,7,$953.41,0%,Completed
50006,13/12/2024,1041,HEA-131,7,"$7,679.50",0%,Completed
50007,"Jul 21, 2025",1003,LAP-100,6,"$2,827.01",5%,Completed
50008,2025-06-08,1118,DOC-143,5,"$3,297.69",0%,Refunded
50009,2024-09-28,1035,LAP-103,2,$283.57,0%,Completed
50010,"Jun 01, 2024",1074,KEY-120,7,$767.88,5%,Completed
50011,2024-02-28,1055,LAP-102,5,"$4,947.73",0%,Completed
50012,2024-09-23,1009,LAP-100,2,$822.92,0%,Completed
50013,13/12/2024,1119,HEA-132,1,$255.91,0%,Completed
50014,22/04/2024,1007,LAP-101,4,"$1,177.66",0%,Completed
50015,27/06/2025,1058,KEY-121,5,"$3,364.94",10%,Completed
50016,2024-01-19,1002,KEY-120,6,$757.43,0%,Completed
50017,10/06/2025,1014,DOC-141,4,"$5,087.02",15%,Completed
50018,13/07/2025,1065,HEA-131,8,"$10,018.38",0%,Completed
50019,"Jul 22, 2024",1094,MON-113,6,"$4,762.40",15%,Completed
50020,"May 12, 2024",1095,KEY-123,1,$148.35,0%,Completed
50021,"Nov 12, 2025",1086,LAP-101,2,$567.11,0%,Completed
50022,15/04/2025,1058,KEY-121,1,$554.44,0%,Completed
50023,07/09/2024,1028,KEY-122,6,$760.94,0%,Completed
50024,"Mar 26, 2024",1084,KEY-122,7,"$1,041.96",0%,Completed
50025,2024-09-27,1052,LAP-100,2,"$1,056.48",10%,Completed
50026,2024-11-07,1075,LAP-100,5,"$2,492.00",10%,Completed
50027,29/11/2024,1020,MON-110,7,"$5,645.88",0%,Completed
50028,"Jun 09, 2025",1090,MON-110,1,$783.18,10%,Completed
50029,"Dec 03, 2025",1088,DOC-140,1,$893.75,15%,Completed
50030,12/02/2024,1014,LAP-102,1,$789.66,5%,Completed
50031,"Oct 04, 2025",1088,DOC-141,1,"$1,076.84",0%,Completed
50032,"Mar 12, 2024",1115,LAP-100,8,"$4,138.29",10%,Completed
50033,2025-04-30,1109,DOC-140,2,"$1,595.14",0%,Completed
50034,27/10/2025,1109,MON-112,4,$624.80,5%,Completed
50035,2025-09-23,1010,KEY-121,1,$646.83,10%,Completed
50036,2025-09-28,1062,KEY-120,5,$554.11,0%,Completed
50037,"Nov 22, 2025",1067,LAP-103,4,$611.68,0%,Completed
50038,2025-07-16,1120,HEA-132,2,$395.36,5%,Completed
50039,02/06/2025,1035,HEA-132,2,$507.97,5%,Completed
50040,"Aug 18, 2025",1068,MON-112,2,$232.82,0%,Refunded
50041,2024-04-25,1064,MON-110,5,"$4,011.06",5%,Completed
50042,18/05/2025,1039,MON-111,1,$563.92,15%,Completed
50043,19/11/2024,1001,KEY-123,7,"$1,082.53",0%,Completed
50044,"Jul 19, 2024",1038,HEA-130,2,"$1,301.56",0%,Completed
50045,26/08/2025,1097,HEA-130,7,"$3,652.86",0%,Completed
50046,22/02/2024,1082,KEY-120,2,$240.93,0%,Completed
50047,07/06/2025,1101,KEY-120,7,$712.00,5%,Completed
50048,"Mar 23, 2024",1053,HEA-130,4,"$2,065.53",5%,Completed
50049,"May 12, 2025",1017,MON-110,5,"$3,191.70",0%,Completed
50050,"Oct 31, 2024",1084,KEY-122,5,$689.49,0%,Completed
50051,09/05/2025,1016,MON-113,5,"$3,641.19",0%,Completed
50052,27/05/2025,1071,LAP-102,4,"$4,085.79",0%,Completed
50053,2025-03-13,1032,KEY-122,8,"$1,056.68",0%,Completed
50054,22/11/2024,1104,DOC-141,2,"$2,342.04",10%,Completed
50055,"Jan 27, 2025",1027,LAP-100,7,"$3,248.25",5%,Completed
50056,11/10/2024,1017,LAP-101,8,"$2,087.19",15%,Completed
50057,04/10/2024,1052,MON-112,2,$305.30,15%,Completed
50058,"May 10, 2024",1098,KEY-121,1,$522.83,5%,Refunded
50059,"Mar 15, 2024",1110,HEA-133,1,$335.40,5%,Refunded
50060,"Aug 17, 2024",1088,MON-113,2,"$1,264.52",0%,Refunded
50061,2025-07-18,1101,HEA-132,2,$479.96,0%,Completed
50062,"May 11, 2024",1082,LAP-101,5,"$1,326.64",5%,Completed
50063,"Mar 13, 2024",1025,LAP-103,2,$286.48,5%,Completed
50064,11/01/2024,1036,DOC-143,1,$578.87,0%,Completed
50065,2025-06-22,1004,MON-113,8,"$5,211.26",5%,Completed
50066,"Jan 23, 2024",1083,KEY-121,1,$556.25,5%,Completed
50067,2025-01-14,1090,MON-113,7,"$4,546.55",0%,Completed
50068,21/07/2024,1095,KEY-123,7,"$1,035.38",10%,Completed
50069,2024-11-15,1030,HEA-133,4,"$1,515.29",5%,Completed
50070,2025-09-30,1115,KEY-121,2,"$1,237.07",0%,Completed
50071,2025-02-06,1077,LAP-101,3,$650.33,0%,Completed
50072,"Feb 06, 2025",1114,LAP-101,3,$750.96,0%,Completed
50073,"Dec 03, 2024",1120,LAP-102,3,"$2,420.81",10%,Completed
50074,11/11/2025,1043,LAP-101,5,"$1,368.61",5%,Completed
50075,13/10/2024,1114,LAP-100,2,$821.97,0%,Completed
50076,31/12/2024,1106,MON-112,7,"$1,028.28",5%,Completed
50077,16/01/2025,1025,HEA-133,4,"$1,411.21",0%,Completed
50078,"Oct 08, 2025",1099,HEA-133,1,$337.64,5%,Completed
50079,2024-03-05,1033,LAP-101,8,"$2,242.70",0%,Completed
50080,"Jan 06, 2025",1006,DOC-143,6,"$3,170.00",0%,Completed
50081,"Oct 31, 2024",1118,KEY-122,5,$626.44,15%,Refunded
50082,"Aug 27, 2024",1060,LAP-102,1,$781.92,5%,Completed
50083,2024-05-15,1002,HEA-131,8,"$10,299.24",15%,Completed
50084,01/12/2024,1047,MON-110,4,"$3,367.02",10%,Completed
50085,2024-06-12,1084,MON-112,7,$864.25,0%,Completed
50086,2024-06-13,1010,DOC-141,6,"$8,927.17",0%,Completed
50087,"Mar 07, 2025",1058,MON-112,2,$269.50,0%,Completed
50088,2025-09-27,1096,HEA-131,8,"$10,188.57",10%,Completed
50089,27/10/2024,1048,LAP-103,5,$710.83,0%,Completed
50090,2024-09-10,1020,MON-112,8,$965.58,0%,Completed
50091,30/11/2024,1032,DOC-142,4,"$2,751.06",10%,Completed
50092,07/02/2024,1114,LAP-103,8,"$1,064.87",0%,Completed
50093,2024-10-27,1025,KEY-123,1,$161.25,10%,Refunded
50094,2024-03-17,1058,DOC-142,4,"$3,080.82",10%,Completed
50095,"Oct 14, 2025",1045,LAP-100,2,$986.12,0%,Completed
50096,15/02/2024,1005,KEY-122,3,$405.92,10%,Completed
50097,01/12/2024,1024,MON-112,1,$130.73,10%,Completed
50098,2025-05-22,1053,MON-112,1,$136.98,0%,Completed
50099,"Oct 16, 2025",1021,DOC-141,3,"$3,891.24",5%,Completed
50100,2025-11-14,1040,HEA-131,5,"$5,271.89",15%,Completed
